图像路径,文件名,真实标签,真实标签索引,预测标签,预测标签索引,是否预测正确,预测置信度,真实标签置信度,概率_dyed-lifted-polyps,概率_dyed-resection-margins,概率_esophagitis,概率_normal-cecum,概率_normal-pylorus,概率_normal-z-line,概率_polyps,概率_ulcerative-colitis
./dataset/train\dyed-lifted-polyps\0a7bdce4-ac0d-44ef-93ee-92dfc8fe0b81.jpg,0a7bdce4-ac0d-44ef-93ee-92dfc8fe0b81.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9859784,0.9859784,0.9859784,0.013374108,3.7801965e-06,2.2640894e-05,7.187885e-06,1.7905451e-05,0.0005844785,1.1427446e-05
./dataset/train\dyed-lifted-polyps\0ad65fea-9e8e-4410-a943-dbb6b94107b1.jpg,0ad65fea-9e8e-4410-a943-dbb6b94107b1.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99961025,0.99961025,0.99961025,0.0002137606,6.1249796e-07,3.5742642e-07,1.1905202e-05,2.8547822e-05,0.00013157645,3.0859946e-06
./dataset/train\dyed-lifted-polyps\0afc0689-2f7e-4f79-9aa8-5f4531d9549d.jpg,0afc0689-2f7e-4f79-9aa8-5f4531d9549d.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.98733217,0.98733217,0.98733217,0.0117593715,9.796308e-07,0.00020245412,6.01369e-06,1.3490957e-06,0.00047771406,0.00022002672
./dataset/train\dyed-lifted-polyps\0b815392-cf2f-458b-b22d-c4ae2927df8b.jpg,0b815392-cf2f-458b-b22d-c4ae2927df8b.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99526936,0.99526936,0.99526936,0.00336083,1.2870636e-05,9.0354587e-07,5.4621098e-05,0.00021183626,0.00018710893,0.00090248627
./dataset/train\dyed-lifted-polyps\0ba205b3-9c23-4d95-9d46-624a550c48be.jpg,0ba205b3-9c23-4d95-9d46-624a550c48be.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99136424,0.99136424,0.99136424,0.008272851,4.720053e-06,7.505101e-05,0.00010805087,7.345185e-05,7.0819675e-05,3.0910538e-05
./dataset/train\dyed-lifted-polyps\0bf20651-4369-41e5-b62d-7689a682e994.jpg,0bf20651-4369-41e5-b62d-7689a682e994.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.8489935,0.8489935,0.8489935,0.13403274,0.0010054446,2.4397412e-05,3.7619746e-05,2.4591882e-05,0.014885796,0.0009959266
./dataset/train\dyed-lifted-polyps\0c51b66c-bf82-434f-8376-f5e0beec2e81.jpg,0c51b66c-bf82-434f-8376-f5e0beec2e81.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99582964,0.99582964,0.99582964,0.0029934493,7.361212e-05,0.00031374086,0.00034086252,0.00040850777,3.6192734e-05,4.0129285e-06
./dataset/train\dyed-lifted-polyps\0d903cfb-02d8-49fa-abd2-01ca60025b16.jpg,0d903cfb-02d8-49fa-abd2-01ca60025b16.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.996615,0.996615,0.996615,0.003339167,7.250921e-07,5.627481e-07,1.6980497e-06,7.7378826e-07,2.8737373e-05,1.3360436e-05
./dataset/train\dyed-lifted-polyps\0d99e0d7-02a9-4578-aab1-1460b2446ba5.jpg,0d99e0d7-02a9-4578-aab1-1460b2446ba5.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99910825,0.99910825,0.99910825,0.0007689813,1.7910861e-06,1.3240646e-05,5.5550703e-05,1.51146305e-05,1.5505178e-05,2.164202e-05
./dataset/train\dyed-lifted-polyps\0da9c916-f978-4cc6-b1a2-e424c980bf17.jpg,0da9c916-f978-4cc6-b1a2-e424c980bf17.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9574864,0.9574864,0.9574864,0.04237368,1.3062477e-05,2.575112e-06,4.6569727e-05,1.6820914e-05,3.7338228e-05,2.3563416e-05
./dataset/train\dyed-lifted-polyps\0de004f5-2c4e-4f45-9439-a0f7fd5fb3a0.jpg,0de004f5-2c4e-4f45-9439-a0f7fd5fb3a0.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99979776,0.99979776,0.99979776,0.00018666606,1.3202093e-07,2.9565615e-06,2.3866824e-06,2.3783414e-06,3.2038433e-06,4.581877e-06
./dataset/train\dyed-lifted-polyps\0ecfc13c-9213-4738-9365-ca94a5dd3eed.jpg,0ecfc13c-9213-4738-9365-ca94a5dd3eed.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.67306435,0.67306435,0.67306435,0.32430828,0.001719934,0.00031217773,0.00021347243,0.00018437221,0.00016946091,2.7918059e-05
./dataset/train\dyed-lifted-polyps\0f373f61-d7d5-4e6b-b6a4-ff5ba33ba62b.jpg,0f373f61-d7d5-4e6b-b6a4-ff5ba33ba62b.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9979961,0.9979961,0.9979961,0.0016337564,2.3083531e-07,0.00012758745,9.3922444e-07,6.865931e-07,8.4284e-05,0.00015644675
./dataset/train\dyed-lifted-polyps\10d78f91-9f3c-42c4-bca3-a8f8c91fccd7.jpg,10d78f91-9f3c-42c4-bca3-a8f8c91fccd7.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9935229,0.9935229,0.9935229,0.0062959003,2.8467402e-05,5.1103605e-05,1.222846e-05,6.979355e-05,1.6130703e-05,3.4061775e-06
./dataset/train\dyed-lifted-polyps\119c9e8d-3214-4179-b23f-7b40c60f071c.jpg,119c9e8d-3214-4179-b23f-7b40c60f071c.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99650383,0.99650383,0.99650383,0.0034431713,1.371961e-07,1.5067628e-05,1.15504145e-05,1.0558504e-06,2.4010425e-05,1.2632512e-06
./dataset/train\dyed-lifted-polyps\12dd15cb-a9f5-4ddc-8dd1-0c4e37138304.jpg,12dd15cb-a9f5-4ddc-8dd1-0c4e37138304.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.95911175,0.95911175,0.95911175,0.040639743,3.0259354e-05,1.160603e-05,0.00013090487,5.646061e-06,6.906074e-05,1.0034488e-06
./dataset/train\dyed-lifted-polyps\12fb09b6-a6c2-4e78-81d0-8502f576e473.jpg,12fb09b6-a6c2-4e78-81d0-8502f576e473.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9903183,0.9903183,0.9903183,0.009388752,1.5020425e-05,1.9299525e-05,0.00011761586,2.3904186e-05,9.8135286e-05,1.9019893e-05
./dataset/train\dyed-lifted-polyps\131bed9f-da09-4ffb-b7c5-e3a59d59e33d.jpg,131bed9f-da09-4ffb-b7c5-e3a59d59e33d.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.730032,0.730032,0.730032,0.26919764,0.00012913378,2.9928965e-06,0.0001411586,2.4413417e-05,5.872901e-05,0.00041390772
./dataset/train\dyed-lifted-polyps\13f0a798-fa5c-43b5-8d0f-8835930aaca3.jpg,13f0a798-fa5c-43b5-8d0f-8835930aaca3.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.8220308,0.8220308,0.8220308,0.17756754,3.6836238e-07,3.123265e-05,1.20517025e-05,4.1496846e-06,0.0002749817,7.887348e-05
./dataset/train\dyed-lifted-polyps\141b4b51-34b2-4bb8-a968-bf352b9c50c9.jpg,141b4b51-34b2-4bb8-a968-bf352b9c50c9.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9991866,0.9991866,0.9991866,0.000459986,3.6847778e-06,2.2944398e-06,1.9255956e-05,2.3080036e-05,9.739998e-06,0.00029527463
./dataset/train\dyed-lifted-polyps\144e9e19-2ffd-4f7d-bc8c-e669aa474fdf.jpg,144e9e19-2ffd-4f7d-bc8c-e669aa474fdf.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99874806,0.99874806,0.99874806,0.0011973974,4.0115512e-07,6.5300213e-07,3.816613e-06,3.7884072e-06,1.2466074e-06,4.460441e-05
./dataset/train\dyed-lifted-polyps\162ede68-ee27-4a85-8658-c1bc9bac11f6.jpg,162ede68-ee27-4a85-8658-c1bc9bac11f6.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.6461027,0.6461027,0.6461027,0.3536531,1.9035242e-05,3.2036052e-05,4.76338e-05,5.376287e-05,5.5975706e-05,3.577815e-05
./dataset/train\dyed-lifted-polyps\165afe0d-d619-4245-895a-72d711b95c18.jpg,165afe0d-d619-4245-895a-72d711b95c18.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9691787,0.9691787,0.9691787,0.030744202,6.2352524e-06,3.308981e-05,8.489653e-06,1.5044172e-05,1.180556e-05,2.493013e-06
./dataset/train\dyed-lifted-polyps\18cc7835-7f43-4953-9d17-809c2d3abaaf.jpg,18cc7835-7f43-4953-9d17-809c2d3abaaf.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99767536,0.99767536,0.99767536,0.0013408561,6.447311e-06,0.00027609055,9.9453275e-05,8.99528e-05,0.0003583647,0.00015350655
./dataset/train\dyed-lifted-polyps\18fdc8a2-3c2a-4557-8de9-0cdb99932e76.jpg,18fdc8a2-3c2a-4557-8de9-0cdb99932e76.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.81529677,0.81529677,0.81529677,0.18082534,0.0005985766,0.0020864846,0.00025731573,0.00033901533,4.9757873e-05,0.00054666004
./dataset/train\dyed-lifted-polyps\192da57a-cb2f-4a75-acb4-a34f9af10c4c.jpg,192da57a-cb2f-4a75-acb4-a34f9af10c4c.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.93062377,0.93062377,0.93062377,0.069222026,4.842059e-06,2.2997017e-05,5.9158714e-07,1.8165769e-05,0.00010214373,5.591383e-06
./dataset/train\dyed-lifted-polyps\194b7e19-a8ba-43ca-ac0a-1f48e8ad9a97.jpg,194b7e19-a8ba-43ca-ac0a-1f48e8ad9a97.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99830097,0.99830097,0.99830097,0.0015148536,5.493038e-06,0.00013331085,5.038611e-07,1.19621245e-05,3.005595e-05,2.9134571e-06
./dataset/train\dyed-lifted-polyps\195f99c7-bd05-4189-86f3-89480d1d3913.jpg,195f99c7-bd05-4189-86f3-89480d1d3913.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.95782614,0.95782614,0.95782614,0.04177863,2.6816183e-06,0.00023902589,8.115161e-05,4.442674e-06,5.2892043e-05,1.4940043e-05
./dataset/train\dyed-lifted-polyps\1a97ff49-0725-4037-b533-5e1e44be3dfd.jpg,1a97ff49-0725-4037-b533-5e1e44be3dfd.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.8397649,0.8397649,0.8397649,0.15607549,9.819175e-05,0.0009302133,0.0019263497,0.00076063443,9.590008e-06,0.00043460442
./dataset/train\dyed-lifted-polyps\1b6d77f2-a6ed-46bb-b981-8d2f77114c27.jpg,1b6d77f2-a6ed-46bb-b981-8d2f77114c27.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9956115,0.9956115,0.9956115,0.00431277,5.322693e-07,6.3869725e-06,5.6621044e-05,3.9304364e-06,6.7074334e-06,1.5453364e-06
./dataset/train\dyed-lifted-polyps\1b996aa4-c81b-4157-93e0-55a0aaa78089.jpg,1b996aa4-c81b-4157-93e0-55a0aaa78089.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99526125,0.99526125,0.99526125,0.004440009,1.01340875e-05,3.0538762e-05,9.551833e-06,2.6801015e-05,0.00018169676,3.992696e-05
./dataset/train\dyed-lifted-polyps\1c6cc338-6c81-443f-b775-a4e8eb8f05ca.jpg,1c6cc338-6c81-443f-b775-a4e8eb8f05ca.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.98015356,0.98015356,0.98015356,0.017939612,3.0522415e-06,1.0540621e-06,1.9492296e-05,1.332316e-06,0.0003696137,0.0015122904
./dataset/train\dyed-lifted-polyps\1cbd371a-79ef-4ffd-b868-5d146e50bb9f.jpg,1cbd371a-79ef-4ffd-b868-5d146e50bb9f.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.96235526,0.96235526,0.96235526,0.030257503,1.0790284e-05,0.0005949938,0.00064020464,2.2783943e-05,0.00018750971,0.0059308945
./dataset/train\dyed-lifted-polyps\1cfa62c9-2880-4a7e-b16b-7628fe133435.jpg,1cfa62c9-2880-4a7e-b16b-7628fe133435.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99810624,0.99810624,0.99810624,0.0011421822,1.3162938e-05,0.00021555762,3.0934264e-06,6.263457e-06,7.1089626e-06,0.0005064322
./dataset/train\dyed-lifted-polyps\1d8f2615-0ba3-4ef6-a07e-b5e238cd790a.jpg,1d8f2615-0ba3-4ef6-a07e-b5e238cd790a.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99397814,0.99397814,0.99397814,0.00486728,1.0453138e-05,2.0823677e-06,0.0006716173,6.517623e-05,2.7092106e-05,0.0003781326
./dataset/train\dyed-lifted-polyps\1dba6b4b-6d67-43ba-a3c2-928e9a8e95d4.jpg,1dba6b4b-6d67-43ba-a3c2-928e9a8e95d4.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.86592245,0.86592245,0.86592245,0.13239802,3.939995e-06,0.0015693262,4.0207174e-06,1.6743008e-05,6.3521686e-05,2.1979133e-05
./dataset/train\dyed-lifted-polyps\1dd03288-4469-45d7-927a-7b4b65fe9190.jpg,1dd03288-4469-45d7-927a-7b4b65fe9190.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9845515,0.9845515,0.9845515,0.015404889,1.5718358e-06,4.9283744e-06,9.628111e-06,3.8024498e-07,1.0316809e-06,2.6085676e-05
./dataset/train\dyed-lifted-polyps\1e828ffa-33f1-4c77-bdb4-3d5e55c8eb12.jpg,1e828ffa-33f1-4c77-bdb4-3d5e55c8eb12.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9977024,0.9977024,0.9977024,0.002251931,8.837946e-07,3.3777624e-06,1.712789e-06,4.4622342e-07,3.587473e-05,3.4236066e-06
./dataset/train\dyed-lifted-polyps\1f1499e9-ed76-4ccc-91a0-456bcd5520c4.jpg,1f1499e9-ed76-4ccc-91a0-456bcd5520c4.jpg,dyed-lifted-polyps,0,dyed-resection-margins,1,0,0.5911691,0.40850013,0.40850013,0.5911691,2.9166592e-06,0.00011696712,1.1427114e-05,4.3701934e-06,2.1577167e-05,0.00017351695
./dataset/train\dyed-lifted-polyps\1f171e07-ed73-4e39-b17e-9e6fc95459c9.jpg,1f171e07-ed73-4e39-b17e-9e6fc95459c9.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9893756,0.9893756,0.9893756,0.010562808,2.7456688e-06,1.817033e-06,2.2376089e-05,1.1030214e-05,2.2198145e-05,1.4636238e-06
./dataset/train\dyed-lifted-polyps\1f501658-08bb-4765-87c9-5e1fc6f4f5d6.jpg,1f501658-08bb-4765-87c9-5e1fc6f4f5d6.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9959252,0.9959252,0.9959252,0.0040518097,2.9479256e-06,1.6509215e-06,5.601007e-06,5.601355e-06,3.7289533e-07,6.880821e-06
./dataset/train\dyed-lifted-polyps\1fd2612b-18d5-4155-b426-72abaa45fac4.jpg,1fd2612b-18d5-4155-b426-72abaa45fac4.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9980981,0.9980981,0.9980981,0.0018631291,3.1961526e-06,1.7004872e-06,3.1073744e-06,7.5130833e-06,7.5852718e-06,1.561818e-05
./dataset/train\dyed-lifted-polyps\200a2e24-8f11-4ca6-aaa5-4c73e10be63f.jpg,200a2e24-8f11-4ca6-aaa5-4c73e10be63f.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9927487,0.9927487,0.9927487,0.007171551,1.3339306e-05,8.9366074e-07,1.1990722e-05,5.1936175e-05,1.4566514e-06,2.4758924e-07
./dataset/train\dyed-lifted-polyps\201df7f0-cd85-4af9-9012-bf4f70792444.jpg,201df7f0-cd85-4af9-9012-bf4f70792444.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.89115477,0.89115477,0.89115477,0.101502486,2.3815113e-05,7.4382326e-05,1.0292044e-05,2.0801358e-06,0.00269961,0.0045326045
./dataset/train\dyed-lifted-polyps\207bca64-27b7-4322-9908-f65e18699f68.jpg,207bca64-27b7-4322-9908-f65e18699f68.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9738427,0.9738427,0.9738427,0.026123203,2.3845564e-07,6.6394236e-06,4.1376228e-07,1.7557289e-06,1.919141e-05,5.827612e-06
./dataset/train\dyed-lifted-polyps\20fc8fba-6440-4808-be5c-695556d7a59d.jpg,20fc8fba-6440-4808-be5c-695556d7a59d.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99271834,0.99271834,0.99271834,0.007265684,1.2972971e-06,6.0706975e-07,9.987853e-07,2.2947768e-06,9.139711e-06,1.740735e-06
./dataset/train\dyed-lifted-polyps\212ea20b-fa4b-43ec-9b50-f6d355c1b72d.jpg,212ea20b-fa4b-43ec-9b50-f6d355c1b72d.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9824892,0.9824892,0.9824892,0.017248074,7.494675e-07,1.0951498e-05,3.9399063e-05,2.0790894e-05,2.3753166e-05,0.00016707428
./dataset/train\dyed-lifted-polyps\21f1c841-f5ad-43cc-9c62-3fc1a1658cc5.jpg,21f1c841-f5ad-43cc-9c62-3fc1a1658cc5.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9983652,0.9983652,0.9983652,0.0012331697,1.1572525e-06,0.00020011653,5.626493e-05,3.037446e-05,3.483057e-05,7.8875266e-05
./dataset/train\dyed-lifted-polyps\22fe9ac9-68c0-4344-91dd-12495657d17a.jpg,22fe9ac9-68c0-4344-91dd-12495657d17a.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9880868,0.9880868,0.9880868,0.0118764555,2.5768738e-06,3.7045209e-06,2.0860869e-05,5.899091e-06,1.283712e-06,2.3811604e-06
./dataset/train\dyed-lifted-polyps\23c56064-4697-4fd6-b083-e5f5f7523f63.jpg,23c56064-4697-4fd6-b083-e5f5f7523f63.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.7481063,0.7481063,0.7481063,0.25172964,1.1347077e-05,8.1896e-05,1.6579625e-05,3.0690768e-05,2.149985e-05,2.0782848e-06
./dataset/train\dyed-lifted-polyps\24fe87e4-c66f-4c2f-9e19-748e4bc9a1d5.jpg,24fe87e4-c66f-4c2f-9e19-748e4bc9a1d5.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9979463,0.9979463,0.9979463,0.0020449634,2.1032007e-07,3.8698263e-06,7.4091e-07,2.6139878e-07,1.7702038e-06,1.8640018e-06
